PLANTCODE_CONSTRAINT_ID,PLANTPRODCUST_ID,PORT_LOCATION_ID
53595,60720,
53596,59969,
53597,62964,
53598,60813,
53599,62488,
53600,61574,
53601,62144,
53602,59368,
53603,61084,
53604,61350,
53605,61706,
53606,61884,
53607,60401,
53608,59667,
53609,60683,
53610,59206,
53611,60520,
53612,61258,
53613,59326,
53614,60986,
53615,59887,
53616,60503,
53617,60805,
53618,61124,
53619,63023,
53620,62277,
53621,60602,
53622,60458,
53623,62688,
53624,63015,
53625,60448,
53626,62591,
53627,59582,
53628,59873,
53629,63106,
53630,59542,
53631,61032,
53632,62796,
53633,60562,
53634,61594,
53635,61409,
53636,59277,
53637,62550,
53638,61479,
53639,61902,
53640,59967,
53641,60166,
53642,59856,
53643,62180,
53644,62191,
53645,61871,
53646,61846,
53647,62846,
53648,59264,
53649,62105,
53650,61719,
53651,62379,
53652,60985,
53653,60553,
53654,62508,
53655,63013,
53656,60004,
53657,61868,
53658,61557,
53659,59838,
53660,60945,
53661,62429,
53662,60961,
53663,59675,
53664,62282,
53665,60564,
53666,62772,
53667,60752,
53668,61679,
53669,62740,
53670,62420,
53671,62006,
53672,60685,
53673,62938,
53674,60584,
53675,63133,
53676,59943,
53677,59762,
53678,61028,
53679,60406,
53680,59321,
53681,61272,
53682,63080,
53683,59829,
53684,61255,
53685,59835,
53686,62421,
53687,62581,
53688,59217,
53689,59982,
53690,60605,
53691,63122,
53692,60947,
53693,62555,
53694,61895,
53695,60886,
53696,59805,
53697,59915,
53698,60229,
53699,61587,
53700,62196,
53701,61918,
53702,61646,
53703,60991,
53704,62784,
53705,62299,
53706,59205,
53707,61867,
53708,62606,
53709,61234,
53710,60816,
53711,61424,
53712,59450,
53713,61833,
53714,62097,
53715,60270,
53716,62750,
53717,61501,
53718,59899,
53719,60378,
53720,59220,
53721,62819,
53722,63079,
53723,61251,
53724,61073,
53725,61492,
53726,61210,
53727,59589,
53728,59574,
53729,61517,
53730,61319,
53731,60592,
53732,59790,
53733,61508,
53734,60660,
53735,60984,
53736,61389,
53737,60480,
53738,61701,
53739,62301,
53740,59786,
53741,62306,
53742,62454,
53743,59807,
53744,63053,
53745,62828,
53746,60405,
53747,60165,
53748,60653,
53749,59509,
53750,62526,
53751,61621,
53752,59513,
53753,60964,
53754,62803,
53755,62254,
53756,59401,
53757,60877,
53758,59534,
53759,59989,
53760,61782,
53761,62551,
53762,60348,
53763,62464,
53764,61585,
53765,60411,
53766,61702,
53767,59629,
53768,61678,
53769,61269,
53770,61487,
53771,60768,
53772,59768,
53773,61321,
53774,59327,
53775,62664,
53776,61774,
53777,60820,
53778,59821,
53779,62952,
53780,60623,
53781,61403,
53782,61828,
53783,61518,
53784,59977,
53785,59984,
53786,62152,
53787,59535,
53788,59323,
53789,63074,
53790,61619,
53791,60455,
53792,61562,
53793,60794,
53794,62573,
53795,62994,
53796,60403,
53797,59971,
53798,61320,
53799,59587,
53800,60981,
53801,62795,
53802,62213,
53803,61844,
53804,60529,
53805,59414,
53806,59351,
53807,60583,
53808,60319,
53809,61760,
53810,62397,
53811,60477,
53812,59955,
53813,59608,
53814,59870,
53815,59383,
53816,62439,
53817,61718,
53818,62335,
53819,62326,
53820,62753,
53821,61786,
53822,59397,
53823,60606,
53824,62554,
53825,60996,
53826,61231,
53827,62943,
53828,60704,
53829,60149,
53830,62641,
53831,60005,
53832,61467,
53833,60611,
53834,62622,
53835,60614,
53836,62422,
53837,62863,
53838,60585,
53839,60193,
53840,60449,
53841,59345,
53842,61989,
53843,60551,
53844,60466,
53845,61954,
53846,61204,
53847,62768,
53848,63059,
53849,59306,
53850,63052,
53851,59962,
53852,60102,
53853,60104,
53854,61692,
53855,60356,
53856,61972,
53857,60773,
53858,59416,
53859,62222,
53860,62368,
53861,59446,
53862,62218,
53863,61988,
53864,60290,
53865,62317,
53866,62814,
53867,60494,
53868,59957,
53869,60958,
53870,62912,
53871,62838,
53872,59756,
53873,61821,
53874,62018,
53875,61998,
53876,61286,
53877,60464,
53878,61901,
53879,62035,
53880,61480,
53881,62949,
53882,60548,
53883,59975,
53884,61857,
53885,62409,
53886,60385,
53887,63163,
53888,62935,
53889,60112,
53890,62137,
53891,60993,
53892,62654,
53893,59993,
53894,61458,
53895,60251,
53896,60195,
53897,63111,
53898,61400,
53899,60565,
53900,60147,
53901,60182,
53902,59303,
53903,60243,
53904,62382,
53905,60825,
53906,61641,
53907,61429,
53908,62129,
53909,61463,
53910,61110,
53911,61965,
53912,60373,
54001,61570,
54002,62600,
54003,62646,
54004,62504,
54005,59875,
54006,62558,
54007,59958,
54008,61415,
54009,60320,
54010,59866,
54011,59751,
54012,61373,
54013,61805,
54014,62506,
54015,60971,
54016,62972,
54017,62343,
54018,60498,
54019,59723,
54020,62392,
54021,60120,
54022,61314,
54023,61295,
54024,59572,
54025,61960,
54026,62044,
54027,63161,
54028,60244,
54029,62175,
54030,59848,
54031,61242,
54032,61227,
54033,62067,
54034,62261,
54035,60618,
54036,61225,
54037,62068,
54038,62566,
54039,62051,
54040,59642,
54041,59553,
54042,62968,
54043,61879,
54044,60368,
54045,62486,
54046,62695,
54047,59716,
54048,61043,
54049,62799,
54050,59251,
54051,60601,
54052,60300,
54053,61635,
54054,61316,
54055,59298,
54056,59320,
54057,60325,
54058,60171,
54059,61639,
54060,60778,
54061,62672,
54062,61576,
54063,60122,
54064,60263,
54065,60117,
54066,59421,
54067,62866,
54068,59721,
54069,59655,
54070,60511,
54071,59561,
54072,61783,
54073,60760,
54074,59208,
54075,62519,
54076,59203,
54077,59694,
54078,61042,
54079,62582,
54080,61655,
54081,61780,
54082,62637,
54083,61470,
54084,59398,
54085,61398,
54086,61575,
54087,60174,
54088,62630,
54089,60246,
54090,61897,
54091,61812,
54092,60488,
54093,62224,
54094,59512,
54095,62817,
54096,61437,
54097,62197,
54098,60852,
54099,61772,
54100,61324,
54101,63154,
54102,62503,
54103,59609,
54104,62302,
54105,60912,
54106,62889,
54107,61345,
54108,59551,
54109,61843,
54110,62005,
54111,62075,
54112,63093,
54113,61401,
54114,61685,
54115,61951,
54116,63016,
54117,61434,
54118,61034,
54119,61896,
54120,61447,
54121,59882,
54122,59802,
54123,60966,
54124,62115,
54125,61676,
54126,62353,
54127,61387,
54128,59272,
54129,61970,
54130,60003,
54131,60130,
54132,61226,
54133,60236,
54134,63076,
54135,62806,
54136,61840,
54137,60324,
54138,59633,
54139,61531,
54140,59564,
54141,60398,
54142,60257,
54143,59714,
54144,62014,
54145,61561,
54146,60792,
54147,63024,
54148,62499,
54149,59650,
54150,62389,
54151,62448,
54152,60210,
54153,62433,
54154,61370,
54155,60575,
54156,62352,
54157,61659,
54158,62064,
54159,60915,
54160,60357,
54161,61992,
54162,62133,
54163,60114,
54164,59342,
54165,62073,
54166,59645,
54167,62605,
54168,62264,
54169,61305,
54170,62243,
54171,62878,
54172,61426,
54173,61905,
54174,63045,
54175,61266,
54176,61758,
54177,62816,
54178,59328,
54179,59202,
54180,60639,
54181,59782,
54182,62643,
54183,62091,
54184,61216,
54185,62118,
54186,61079,
54187,62307,
54188,62601,
54189,61933,
54190,60433,
54191,59364,
54192,62941,
54193,62706,
54194,61612,
54195,63033,
54196,59594,
54197,62234,
54198,60282,
54199,62829,
54200,62493,
54201,61064,
54202,63078,
54203,60990,
54204,60329,
54205,62559,
54206,62212,
54207,60875,
54208,62122,
54209,59437,
54210,62854,
54211,63077,
54212,62955,
54213,62788,
54214,60878,
54215,60173,
54216,60550,
54217,60896,
54218,60791,
54219,59235,
54220,60409,
54221,60482,
54222,59204,
54223,59874,
54224,60545,
54225,60508,
54226,63075,
54227,59245,
54228,61287,
54229,61916,
54230,62192,
54231,62405,
54232,61020,
54233,61257,
54234,60305,
54235,60977,
54236,61664,
54237,61712,
54238,62564,
54239,61444,
54240,60452,
54241,61580,
54242,59747,
54243,62509,
54244,61253,
54245,61443,
54246,62904,
54247,61816,
54248,59244,
54249,63085,
54250,61203,
54251,60220,
54252,59863,
54253,59927,
54254,60916,
54255,60376,
54256,59532,
54257,59502,
54258,62107,
54259,60726,
54260,62687,
54261,59404,
54262,61727,
54263,59681,
54264,61632,
54265,61502,
54266,59908,
54267,59611,
54268,62679,
54269,60775,
54270,62662,
54271,63089,
54272,62914,
54273,62696,
54274,59453,
54275,60943,
54276,62726,
54277,61096,
